CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,Gender_Male,Geography_Germany,Geography_Spain,BalanceSalaryRatio,IsWealthy,OneProductCostumer,TenureGroup,HasZeroBalance
-0.3262214220367463,0.2935174228967471,-1.0862458766637593,-1.2258476714090278,1,1,1,0.021886493995386117,1,40-50,False,False,False,-0.03788227353126126,0,0,0-2,1
-0.4400359548576657,0.1981638321954454,-1.4485814704673414,0.11735002143511059,1,0,1,0.21653375188734025,0,40-50,False,False,True,-0.03043934832261594,0,1,0-2,0
-1.536794180222889,0.2935174228967471,1.0877676861577346,1.3330533457228904,3,1,0,0.24068690006348814,1,40-50,False,False,False,-0.023875760274753802,1,0,6-10,0
0.5015206348426676,0.0074566507928420294,-1.4485814704673414,-1.2258476714090278,2,0,0,-0.10891791702847127,0,30-40,False,False,False,-0.03788227353126126,0,0,0-2,1
2.063883767202561,0.38887101359804876,-1.0862458766637593,0.7857278997960591,1,1,1,-0.36527578251440274,0,40-50,False,False,True,-0.022019974659711693,0,0,0-2,0
-0.05720525355093678,0.48422460429935044,1.0877676861577346,0.5973285944410414,2,1,0,0.8636502870218095,1,40-50,True,False,True,-0.030290138709134395,1,0,6-10,0
1.7741740472947665,1.0563461485071606,0.7254320923541523,-1.2258476714090278,2,1,1,-1.5654872211931183,0,40-50,True,False,False,-0.03788227353126126,0,0,6-10,1
-2.840487919807966,-0.9460792562201749,-0.3615746890565946,0.6180189508533646,4,1,0,0.33485372981012046,1,<30,False,True,False,-0.02824755043417571,1,0,3-5,0
-1.5471409559338818,0.48422460429935044,-0.3615746890565946,1.0508202865849028,2,0,1,-0.4373288460949081,0,40-50,True,False,False,-0.018936961721811533,0,0,3-5,0
0.3463189991777775,-1.1367864376227783,-1.0862458766637593,0.9314633619936777,1,1,1,-0.49323048409247083,0,<30,True,False,False,-0.019125584580906567,0,0,0-2,0
-1.2677780117370796,-0.7553720748175714,0.36309649855056997,0.409185402285092,2,0,0,-0.34619970089236274,0,30-40,True,False,False,-0.025165602078895573,0,0,6-10,0
-1.5885280587778525,-1.4228472097266833,-0.7239102828601769,-1.2258476714090278,2,1,0,-0.412123315592307,0,<30,True,False,True,-0.03788227353126126,0,0,3-5,1
-1.8058103487086987,-0.4693113027136664,1.812438873764899,-1.2258476714090278,2,1,0,-1.283817056739873,0,30-40,False,False,False,-0.03788227353126126,0,0,6-10,1
-1.0504957218062334,-1.3274936190253817,0.0007609047469876803,-1.2258476714090278,2,0,0,1.5783569986897874,0,<30,False,False,False,-0.03788227353126126,0,0,3-5,1
-0.1606730106608635,-0.3739577120123647,0.7254320923541523,-1.2258476714090278,2,1,1,-0.5936359656444845,0,30-40,False,False,True,-0.03788227353126126,0,0,6-10,1
-0.3572617491697243,0.5795781950006521,-0.7239102828601769,1.0681029591182611,2,0,1,-0.6218824846013182,0,40-50,True,True,False,-0.015643711278445504,0,0,3-5,0
